scope,character,card_id,model_id,name_en,name_zhs,total_runs_with,total_runs,appearance_probability,total_copies,copies_per_run
allCharacters,,ASCENDERS_BANE,CARD.ASCENDERS_BANE,Ascender's Bane,进阶之灾,36475,36533,0.9984123942736703,37738,1.032983877590124
allCharacters,,SURVIVOR,CARD.SURVIVOR,Survivor,生存者,8767,36533,0.23997481728847891,9071,0.24829606109544794
allCharacters,,DEFEND_SILENT,CARD.DEFEND_SILENT,Defend,防御,8354,36533,0.2286699696165111,37731,1.0327922700024634
allCharacters,,NEUTRALIZE,CARD.NEUTRALIZE,Neutralize,中和,8199,36533,0.2244272301754578,8477,0.2320367886568308
allCharacters,,DEFEND_IRONCLAD,CARD.DEFEND_IRONCLAD,Defend,防御,7491,36533,0.20504749130922728,26375,0.7219500177921332
allCharacters,,VENERATE,CARD.VENERATE,Venerate,崇拜,7337,36533,0.2008321243806969,7610,0.2083048202994553
allCharacters,,DEFEND_REGENT,CARD.DEFEND_REGENT,Defend,防御,7190,36533,0.19680836503982702,25101,0.6870774368379273
allCharacters,,FALLING_STAR,CARD.FALLING_STAR,Falling Star,陨星,6831,36533,0.18698163304409712,7094,0.19418060383762625
allCharacters,,BASH,CARD.BASH,Bash,痛击,6733,36533,0.1842991268168505,6968,0.19073166725973778
allCharacters,,STRIKE_IRONCLAD,CARD.STRIKE_IRONCLAD,Strike,打击,6620,36533,0.18120603290176004,22261,0.6093395012728219
allCharacters,,STRIKE_SILENT,CARD.STRIKE_SILENT,Strike,打击,6440,36533,0.17627898064763364,18812,0.5149317055812553
allCharacters,,CLUMSY,CARD.CLUMSY,Clumsy,笨拙,6315,36533,0.17285741658226808,6571,0.17986477978813675
allCharacters,,PREPARED,CARD.PREPARED,Prepared,早有准备,6290,36533,0.17217310376919498,10495,0.2872745189280924
allCharacters,,BODYGUARD,CARD.BODYGUARD,Bodyguard,护卫,6132,36533,0.16784824679057292,6311,0.17274792653217638
allCharacters,,BLOODLETTING,CARD.BLOODLETTING,Bloodletting,放血,6033,36533,0.1651383680508034,8303,0.22727397147784195
allCharacters,,MAD_SCIENCE,CARD.MAD_SCIENCE,Mad Science,疯狂科学,5963,36533,0.16322229217419867,6283,0.1719814961815345
allCharacters,,PIERCING_WAIL,CARD.PIERCING_WAIL,Piercing Wail,尖啸,5963,36533,0.16322229217419867,8816,0.2413160704021022
allCharacters,,BACKFLIP,CARD.BACKFLIP,Backflip,后空翻,5839,36533,0.15982810062135602,8864,0.2426299510032026
allCharacters,,UNLEASH,CARD.UNLEASH,Unleash,出击,5783,36533,0.15829523992007227,5959,0.16311280212410698
allCharacters,,DEFEND_NECROBINDER,CARD.DEFEND_NECROBINDER,Defend,防御,5776,36533,0.1581036323324118,19896,0.5446035091561054
allCharacters,,STRIKE_REGENT,CARD.STRIKE_REGENT,Strike,打击,5154,36533,0.14107792954315276,11902,0.32578764404784716
allCharacters,,FOOTWORK,CARD.FOOTWORK,Footwork,灵动步法,4988,36533,0.1365340924643473,7105,0.19448170147537844
allCharacters,,SHRUG_IT_OFF,CARD.SHRUG_IT_OFF,Shrug It Off,耸肩无视,4952,36533,0.13554868201352202,6966,0.19067692223469193
allCharacters,,DEFEND_DEFECT,CARD.DEFEND_DEFECT,Defend,防御,4939,36533,0.13519283935072401,17481,0.4784988914132428
allCharacters,,ZAP,CARD.ZAP,Zap,电击,4808,36533,0.1316070402102209,4986,0.13647934743930146
allCharacters,,DUALCAST,CARD.DUALCAST,Dualcast,双重释放,4731,36533,0.12949935674595572,4906,0.1342895464374675
allCharacters,,POMMEL_STRIKE,CARD.POMMEL_STRIKE,Pommel Strike,剑柄打击,4730,36533,0.12947198423343279,7408,0.20277557276982455
allCharacters,,DEFY,CARD.DEFY,Defy,违逆,4624,36533,0.1265704979060028,7301,0.19984671392987163
allCharacters,,ACROBATICS,CARD.ACROBATICS,Acrobatics,杂技,4397,36533,0.12035693756329893,6279,0.1718720061314428
allCharacters,,GLOW,CARD.GLOW,Glow,辉光,4153,36533,0.11367804450770536,5969,0.16338652724933622
allCharacters,,TREMBLE,CARD.TREMBLE,Tremble,战栗,4115,36533,0.11263788903183423,5442,0.14896121314975502
allCharacters,,GATHER_LIGHT,CARD.GATHER_LIGHT,Gather Light,收集光辉,3911,36533,0.10705389647715764,5266,0.14414365094572032
allCharacters,,GRAVE_WARDEN,CARD.GRAVE_WARDEN,Grave Warden,守墓人,3911,36533,0.10705389647715764,5456,0.14934442832507597
allCharacters,,HOLOGRAM,CARD.HOLOGRAM,Hologram,全息影像,3828,36533,0.1047819779377549,5835,0.15971861057126432
allCharacters,,STRIKE_NECROBINDER,CARD.STRIKE_NECROBINDER,Strike,打击,3749,36533,0.10261954944844387,8270,0.22637067856458545
allCharacters,,COSMIC_INDIFFERENCE,CARD.COSMIC_INDIFFERENCE,Cosmic Indifference,宇宙冷漠,3689,36533,0.10097719869706841,4767,0.13048476719678098
allCharacters,,BEGONE,CARD.BEGONE,BEGONE!,下去！,3602,36533,0.09859579010757398,4566,0.12498289217967318
allCharacters,,TURBO,CARD.TURBO,TURBO,内核加速,3570,36533,0.09771986970684039,4961,0.13579503462622833
allCharacters,,CLOAK_AND_DAGGER,CARD.CLOAK_AND_DAGGER,Cloak and Dagger,斗篷与匕首,3563,36533,0.09752826211917992,5177,0.14170749733118002
allCharacters,,CALCULATED_GAMBLE,CARD.CALCULATED_GAMBLE,Calculated Gamble,计算下注,3557,36533,0.09736402704404237,4533,0.12407959926641667
allCharacters,,DOMINATE,CARD.DOMINATE,Dominate,主宰,3542,36533,0.0969534393561985,5155,0.1411053020556757
allCharacters,,GREED,CARD.GREED,Greed,贪婪,3505,36533,0.0959406563928503,3717,0.1017436290477103
allCharacters,,TRUE_GRIT,CARD.TRUE_GRIT,True Grit,坚毅,3497,36533,0.09572167629266691,4311,0.11800290148632743
allCharacters,,BATTLE_TRANCE,CARD.BATTLE_TRANCE,Battle Trance,战斗专注,3477,36533,0.09517422604220842,4073,0.1114882435058714
allCharacters,,HIDDEN_CACHE,CARD.HIDDEN_CACHE,Hidden Cache,隐秘藏品,3374,36533,0.0923548572523472,4242,0.11611419812224565
allCharacters,,BLADE_DANCE,CARD.BLADE_DANCE,Blade Dance,刀刃之舞,3342,36533,0.09147893685161361,5213,0.1426929077820053
allCharacters,,LEADING_STRIKE,CARD.LEADING_STRIKE,Leading Strike,先制打击,3337,36533,0.09134207428899899,4553,0.12462704951687516
allCharacters,,STRIKE_DEFECT,CARD.STRIKE_DEFECT,Strike,打击,3332,36533,0.09120521172638436,7666,0.20983768100073905
allCharacters,,KNOW_THY_PLACE,CARD.KNOW_THY_PLACE,Know Thy Place,何人僭越,3318,36533,0.09082199655106342,4056,0.11102291079298168
allCharacters,,MOLTEN_FIST,CARD.MOLTEN_FIST,Molten Fist,熔融之拳,3292,36533,0.09011031122546738,5192,0.1421180850190239
allCharacters,,COLOSSUS,CARD.COLOSSUS,Colossus,巨像,3271,36533,0.08953548846248598,4181,0.11444447485834724
allCharacters,,EXPOSE,CARD.EXPOSE,Expose,暴露,3268,36533,0.0894533709249172,3743,0.10245531437330632
allCharacters,,ESCAPE_PLAN,CARD.ESCAPE_PLAN,Escape Plan,逃脱计划,3197,36533,0.08750992253578956,4712,0.12897927900802014
allCharacters,,ORBIT,CARD.ORBIT,Orbit,环绕轨道,3197,36533,0.08750992253578956,4410,0.12071278022609695
allCharacters,,INVOKE,CARD.INVOKE,Invoke,唤起,3189,36533,0.08729094243560616,4020,0.11003750034215641
allCharacters,,ACCURACY,CARD.ACCURACY,Accuracy,精准,3176,36533,0.08693509977280815,4570,0.12509238222976488
allCharacters,,COOLHEADED,CARD.COOLHEADED,Coolheaded,冷静头脑,3170,36533,0.0867708646976706,4625,0.12659787041852572
allCharacters,,UNTOUCHABLE,CARD.UNTOUCHABLE,Untouchable,触不可及,3148,36533,0.08616866942216626,4062,0.11118714586811923
allCharacters,,ENFEEBLING_TOUCH,CARD.ENFEEBLING_TOUCH,Enfeebling Touch,弱化之触,3034,36533,0.08304820299455287,3884,0.10631483863903868
allCharacters,,BURNING_PACT,CARD.BURNING_PACT,Burning Pact,燃烧契约,3031,36533,0.0829660854569841,3762,0.10297539211124189
allCharacters,,WELL_LAID_PLANS,CARD.WELL_LAID_PLANS,Well-Laid Plans,计划妥当,3020,36533,0.08266498781923193,3419,0.09358662031587879
allCharacters,,CHILD_OF_THE_STARS,CARD.CHILD_OF_THE_STARS,Child of the Stars,群星之子,2956,36533,0.08091314701776477,3961,0.10842252210330386
allCharacters,,ARMAMENTS,CARD.ARMAMENTS,Armaments,武装,2891,36533,0.07913393370377467,3254,0.08907015574959626
allCharacters,,DEFLECT,CARD.DEFLECT,Deflect,偏折,2853,36533,0.07809377822790355,3688,0.10094982618454548
allCharacters,,NOXIOUS_FUMES,CARD.NOXIOUS_FUMES,Noxious Fumes,毒雾,2845,36533,0.07787479812772015,3888,0.10642432868913038
allCharacters,,FRIENDSHIP,CARD.FRIENDSHIP,Friendship,友谊,2841,36533,0.07776530807762845,3595,0.09840418251991351
allCharacters,,HIDDEN_DAGGERS,CARD.HIDDEN_DAGGERS,Hidden Daggers,隐秘匕首,2800,36533,0.07664303506418854,3293,0.0901376837379903
allCharacters,,BULWARK,CARD.BULWARK,Bulwark,铸墙,2784,36533,0.07620507486382175,3530,0.09662496920592341
allCharacters,,BLOOD_WALL,CARD.BLOOD_WALL,Blood Wall,血墙,2773,36533,0.07590397722606958,3517,0.09626912654312539
allCharacters,,CHARGE,CARD.CHARGE,CHARGE!!,冲锋！！,2739,36533,0.07497331180029015,3118,0.08534749404647853
allCharacters,,TAUNT,CARD.TAUNT,Taunt,挑衅,2738,36533,0.07494593928776723,3195,0.0874551775107437
allCharacters,,FEEL_NO_PAIN,CARD.FEEL_NO_PAIN,Feel No Pain,无惧疼痛,2724,36533,0.07456272411244629,3497,0.09572167629266691
allCharacters,,DEBILITATE,CARD.DEBILITATE,Debilitate,摧残,2705,36533,0.07404264637451072,3117,0.0853201215339556
allCharacters,,CONVERGENCE,CARD.CONVERGENCE,Convergence,汇流,2676,36533,0.0732488435113459,3194,0.08742780499822078
allCharacters,,ADRENALINE,CARD.ADRENALINE,Adrenaline,肾上腺素,2674,36533,0.07319409848630005,8619,0.2359236854350861
allCharacters,,BLUR,CARD.BLUR,Blur,残影,2672,36533,0.0731393534612542,3266,0.08939862589987135
allCharacters,,WISP,CARD.WISP,Wisp,鬼火,2666,36533,0.07297511838611666,3675,0.10059398352174746
