group_key,build_id,character,card_id,model_id,name_en,name_zhs,total_runs_with,total_runs,appearance_probability,plus0_final_run_count,plus0_appearance_probability,plus1_final_run_count,plus1_appearance_probability,total_copies,copies_per_run,avg_copies_when_present,plus0_offer_count,plus0_pick_count,plus0_pick_rate,plus1_offer_count,plus1_pick_count,plus1_pick_rate,plus0_shop_offer_count,plus0_shop_buy_count,plus0_shop_buy_rate,plus1_shop_offer_count,plus1_shop_buy_count,plus1_shop_buy_rate
all,,,ASCENDERS_BANE,CARD.ASCENDERS_BANE,Ascender's Bane,进阶之灾,952,956,0.99581589958159,952,0.99581589958159,0,0.0,986,1.0313807531380754,1.0357142857142858,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
all,,,VENERATE,CARD.VENERATE,Venerate,崇拜,907,956,0.948744769874477,572,0.5983263598326359,336,0.3514644351464435,942,0.9853556485355649,1.0385887541345094,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
all,,,DEFEND_REGENT,CARD.DEFEND_REGENT,Defend,防御,884,956,0.9246861924686193,852,0.891213389121339,332,0.3472803347280335,3137,3.2813807531380754,3.5486425339366514,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
all,,,FALLING_STAR,CARD.FALLING_STAR,Falling Star,陨星,841,956,0.8797071129707112,677,0.7081589958158996,166,0.17364016736401675,876,0.9163179916317992,1.0416171224732462,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
all,,,STRIKE_REGENT,CARD.STRIKE_REGENT,Strike,打击,669,956,0.6997907949790795,589,0.6161087866108786,243,0.25418410041841005,1623,1.6976987447698744,2.4260089686098656,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0
all,,,GATHER_LIGHT,CARD.GATHER_LIGHT,Gather Light,收集光辉,536,956,0.5606694560669456,388,0.40585774058577406,211,0.22071129707112971,721,0.75418410041841,1.3451492537313432,1376,427,0.31031976744186046,260,104,0.4,413,86,0.20823244552058112,27,8,0.2962962962962963
all,,,BEGONE,CARD.BEGONE,BEGONE!,下去！,518,956,0.5418410041841004,392,0.4100418410041841,164,0.17154811715481172,659,0.6893305439330544,1.2722007722007722,1323,394,0.29780801209372637,256,89,0.34765625,355,69,0.19436619718309858,26,14,0.5384615384615384
all,,,GLOW,CARD.GLOW,Glow,辉光,468,956,0.4895397489539749,193,0.20188284518828453,319,0.33368200836820083,618,0.6464435146443515,1.3205128205128205,1370,330,0.24087591240875914,279,136,0.4874551971326165,362,55,0.15193370165745856,31,15,0.4838709677419355
all,,,KNOW_THY_PLACE,CARD.KNOW_THY_PLACE,Know Thy Place,何人僭越,450,956,0.4707112970711297,279,0.2918410041841004,206,0.21548117154811716,559,0.5847280334728033,1.2422222222222221,1308,347,0.2652905198776758,237,65,0.2742616033755274,379,35,0.09234828496042216,19,7,0.3684210526315789
all,,,COSMIC_INDIFFERENCE,CARD.COSMIC_INDIFFERENCE,Cosmic Indifference,宇宙冷漠,424,956,0.4435146443514644,279,0.2918410041841004,176,0.18410041841004185,528,0.5523012552301255,1.2452830188679245,1314,288,0.2191780821917808,252,108,0.42857142857142855,351,53,0.150997150997151,25,7,0.28
all,,,PILLAR_OF_CREATION,CARD.PILLAR_OF_CREATION,Pillar of Creation,创世之柱,415,956,0.4341004184100418,188,0.19665271966527198,286,0.29916317991631797,624,0.6527196652719666,1.5036144578313253,529,272,0.5141776937618148,95,52,0.5473684210526316,426,198,0.4647887323943662,35,16,0.45714285714285713
all,,,BULWARK,CARD.BULWARK,Bulwark,铸墙,414,956,0.4330543933054393,194,0.20292887029288703,253,0.26464435146443516,532,0.5564853556485355,1.285024154589372,517,327,0.632495164410058,94,63,0.6702127659574468,189,73,0.3862433862433862,10,8,0.8
all,,,SPECTRUM_SHIFT,CARD.SPECTRUM_SHIFT,Spectrum Shift,光谱偏移,407,956,0.42573221757322177,95,0.09937238493723849,336,0.3514644351464435,534,0.5585774058577406,1.3120393120393121,508,212,0.41732283464566927,109,59,0.5412844036697247,423,162,0.3829787234042553,26,14,0.5384615384615384
all,,,CHARGE,CARD.CHARGE,CHARGE!!,冲锋！！,399,956,0.41736401673640167,268,0.2803347280334728,150,0.15690376569037656,456,0.4769874476987448,1.1428571428571428,463,271,0.5853131749460043,75,41,0.5466666666666666,160,75,0.46875,6,2,0.3333333333333333
all,,,HIDDEN_CACHE,CARD.HIDDEN_CACHE,Hidden Cache,隐秘藏品,398,956,0.41631799163179917,253,0.26464435146443516,174,0.18200836820083682,502,0.5251046025104602,1.2613065326633166,1336,281,0.21032934131736528,259,71,0.27413127413127414,373,59,0.1581769436997319,20,10,0.5
all,,,ORBIT,CARD.ORBIT,Orbit,环绕轨道,393,956,0.4110878661087866,87,0.09100418410041841,327,0.34205020920502094,535,0.5596234309623431,1.361323155216285,485,221,0.4556701030927835,109,81,0.7431192660550459,383,127,0.33159268929503916,25,13,0.52
all,,,REFLECT,CARD.REFLECT,Reflect,倒映,375,956,0.3922594142259414,231,0.24163179916317992,172,0.1799163179916318,450,0.4707112970711297,1.2,499,266,0.533066132264529,107,57,0.5327102803738317,143,58,0.40559440559440557,5,3,0.6
all,,,CONVERGENCE,CARD.CONVERGENCE,Convergence,汇流,369,956,0.38598326359832635,196,0.20502092050209206,197,0.20606694560669456,441,0.46129707112970714,1.1951219512195121,482,266,0.5518672199170125,95,63,0.6631578947368421,152,55,0.3618421052631579,9,5,0.5555555555555556
all,,,GLITTERSTREAM,CARD.GLITTERSTREAM,Glitterstream,流光溢彩,368,956,0.38493723849372385,187,0.19560669456066945,213,0.22280334728033474,484,0.5062761506276151,1.315217391304348,1320,281,0.2128787878787879,242,82,0.33884297520661155,380,42,0.11052631578947368,24,4,0.16666666666666666
all,,,CHILD_OF_THE_STARS,CARD.CHILD_OF_THE_STARS,Child of the Stars,群星之子,357,956,0.37343096234309625,146,0.15271966527196654,253,0.26464435146443516,491,0.5135983263598326,1.3753501400560224,487,231,0.47433264887063653,99,54,0.5454545454545454,404,132,0.32673267326732675,20,13,0.65
all,,,COLLISION_COURSE,CARD.COLLISION_COURSE,Collision Course,碰撞轨迹,337,956,0.35251046025104604,234,0.24476987447698745,124,0.1297071129707113,438,0.4581589958158996,1.2997032640949555,1417,260,0.1834862385321101,234,53,0.2264957264957265,431,33,0.0765661252900232,18,6,0.3333333333333333
all,,,BIG_BANG,CARD.BIG_BANG,Big Bang,大爆炸,320,956,0.33472803347280333,171,0.1788702928870293,177,0.18514644351464435,1493,1.5617154811715481,4.665625,292,252,0.863013698630137,13,12,0.9230769230769231,59,41,0.6949152542372882,12,10,0.8333333333333334
all,,,REFINE_BLADE,CARD.REFINE_BLADE,Refine Blade,淬炼刀刃,311,956,0.3253138075313807,169,0.17677824267782427,153,0.1600418410041841,356,0.3723849372384937,1.144694533762058,1359,203,0.14937454010301693,256,57,0.22265625,369,33,0.08943089430894309,31,11,0.3548387096774194
all,,,MANIFEST_AUTHORITY,CARD.MANIFEST_AUTHORITY,Manifest Authority,君权自授,301,956,0.3148535564853556,119,0.12447698744769875,200,0.20920502092050208,373,0.3901673640167364,1.239202657807309,487,234,0.4804928131416838,89,58,0.651685393258427,157,36,0.22929936305732485,6,1,0.16666666666666666
all,,,CLOAK_OF_STARS,CARD.CLOAK_OF_STARS,Cloak of Stars,群星斗篷,274,956,0.28661087866108786,195,0.20397489539748953,96,0.100418410041841,352,0.3682008368200837,1.2846715328467153,1365,179,0.13113553113553114,243,55,0.22633744855967078,367,33,0.08991825613079019,25,8,0.32
all,,,GAMMA_BLAST,CARD.GAMMA_BLAST,Gamma Blast,伽马爆破,262,956,0.27405857740585776,182,0.1903765690376569,84,0.08786610878661087,281,0.2939330543933054,1.0725190839694656,514,165,0.321011673151751,90,32,0.35555555555555557,236,42,0.17796610169491525,7,3,0.42857142857142855
all,,,ASTRAL_PULSE,CARD.ASTRAL_PULSE,Astral Pulse,星界脉冲,261,956,0.2730125523012552,160,0.16736401673640167,108,0.11297071129707113,286,0.29916317991631797,1.0957854406130267,1271,185,0.14555468135326516,221,22,0.09954751131221719,449,37,0.08240534521158129,13,2,0.15384615384615385
all,,,PATTER,CARD.PATTER,Patter,星星点点,258,956,0.2698744769874477,165,0.17259414225941422,117,0.12238493723849372,337,0.35251046025104604,1.306201550387597,1349,180,0.1334321719792439,247,58,0.23481781376518218,354,28,0.07909604519774012,21,6,0.2857142857142857
all,,,PARTICLE_WALL,CARD.PARTICLE_WALL,Particle Wall,粒子墙,247,956,0.2583682008368201,140,0.14644351464435146,111,0.11610878661087866,270,0.2824267782426778,1.0931174089068827,472,139,0.2944915254237288,97,46,0.4742268041237113,175,35,0.2,10,3,0.3
all,,,ROYAL_GAMBLE,CARD.ROYAL_GAMBLE,Royal Gamble,胜券在王,239,956,0.25,94,0.09832635983263599,160,0.16736401673640167,296,0.30962343096234307,1.2384937238493723,457,175,0.38293216630196936,93,49,0.5268817204301075,130,33,0.25384615384615383,9,3,0.3333333333333333
