group_key,build_id,character,card_id,model_id,name_en,name_zhs,total_runs_with,total_runs,appearance_probability,plus0_final_run_count,plus0_appearance_probability,plus1_final_run_count,plus1_appearance_probability,total_copies,copies_per_run,avg_copies_when_present,plus0_offer_count,plus0_pick_count,plus0_pick_rate,plus1_offer_count,plus1_pick_count,plus1_pick_rate,plus0_shop_offer_count,plus0_shop_buy_count,plus0_shop_buy_rate,plus1_shop_offer_count,plus1_shop_buy_count,plus1_shop_buy_rate
all,,,ASCENDERS_BANE,CARD.ASCENDERS_BANE,Ascender's Bane,进阶之灾,4429,4448,0.9957284172661871,4429,0.9957284172661871,0,0.0,4568,1.026978417266187,1.0313840596071349,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
all,,,SURVIVOR,CARD.SURVIVOR,Survivor,生存者,1123,4448,0.2524730215827338,954,0.21447841726618705,172,0.03866906474820144,1159,0.26056654676258995,1.0320569902048085,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
all,,,DEFEND_SILENT,CARD.DEFEND_SILENT,Defend,防御,1058,4448,0.23785971223021582,1037,0.2331384892086331,387,0.08700539568345324,5018,1.1281474820143884,4.742911153119093,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0.0
all,,,NEUTRALIZE,CARD.NEUTRALIZE,Neutralize,中和,1046,4448,0.23516187050359713,296,0.06654676258992806,753,0.16928956834532374,1079,0.24258093525179855,1.031548757170172,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0
all,,,DEFEND_IRONCLAD,CARD.DEFEND_IRONCLAD,Defend,防御,861,4448,0.19357014388489208,802,0.18030575539568344,359,0.08071043165467626,3088,0.6942446043165468,3.586527293844367,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
all,,,BACKFLIP,CARD.BACKFLIP,Backflip,后空翻,850,4448,0.19109712230215828,656,0.1474820143884892,340,0.0764388489208633,1444,0.32464028776978415,1.6988235294117646,1625,758,0.4664615384615385,356,218,0.6123595505617978,454,165,0.3634361233480176,14,5,0.35714285714285715
all,,,VENERATE,CARD.VENERATE,Venerate,崇拜,849,4448,0.1908723021582734,543,0.12207733812949641,306,0.06879496402877698,873,0.1962679856115108,1.028268551236749,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
all,,,STRIKE_SILENT,CARD.STRIKE_SILENT,Strike,打击,833,4448,0.1872751798561151,754,0.16951438848920863,302,0.0678956834532374,2613,0.5874550359712231,3.1368547418967587,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
all,,,DEFEND_REGENT,CARD.DEFEND_REGENT,Defend,防御,829,4448,0.18637589928057555,799,0.17963129496402877,316,0.0710431654676259,2865,0.6441097122302158,3.4559710494571774,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
all,,,CLUMSY,CARD.CLUMSY,Clumsy,笨拙,827,4448,0.18592625899280577,827,0.18592625899280577,0,0.0,849,0.1908723021582734,1.026602176541717,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
all,,,BASH,CARD.BASH,Bash,痛击,804,4448,0.18075539568345322,543,0.12207733812949641,263,0.05912769784172662,833,0.1872751798561151,1.0360696517412935,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0
all,,,FALLING_STAR,CARD.FALLING_STAR,Falling Star,陨星,798,4448,0.17940647482014388,629,0.14141187050359713,171,0.038444244604316544,820,0.1843525179856115,1.0275689223057645,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0.0
